position,index,x_mm,y_mm
pos_1,1,-0.0,0.0
pos_1,2,0.7478994824163422,9.971993098884562
pos_1,3,0.9971993098884563,19.694686370297013
pos_1,4,1.2464991373605703,29.41737964170946
pos_1,5,0.9971993098884563,39.14007291312191
pos_1,6,1.2464991373605703,48.86276618453436
pos_1,7,1.2464991373605703,59.08405911089103
pos_1,8,0.9971993098884563,68.05885289988714
pos_1,9,5.9831958593307375,59.33335893836315
pos_1,10,9.971993098884562,50.60786497683916
pos_1,11,14.70868982085473,41.882371015315165
pos_1,12,18.94678688788067,33.15687705379117
pos_1,13,23.18488395490661,24.43138309226718
pos_1,14,27.173681194460436,15.456589303271073
pos_1,15,31.411778261486372,7.229694996691308
pos_2,1,-0.0,0.0
pos_2,2,6.7151942473885935,7.409869514359827
pos_2,3,11.114804271539741,15.514414295690889
pos_2,4,13.893505339424676,23.850517499345695
pos_2,5,12.504154805482209,32.88129596997173
pos_2,6,11.346362693863485,42.143632862921514
pos_2,7,9.03077847062604,51.17441133354755
pos_2,8,6.946752669712338,59.97363138184985
pos_2,9,13.198830072453442,53.02687871213752
pos_2,10,18.52467378589957,45.61700919777768
pos_2,11,24.545192766316926,38.4386981057416
pos_2,12,29.407919635115565,30.565711746734287
pos_2,13,32.64973754764799,22.461166965403226
pos_2,14,32.88129596997173,13.430388494777187
pos_2,15,31.491945436029265,4.862726868798637
